countries,P(N|X),P(N)
NOR,0.0625,0.04054819
PAK,0,0.0002265262
IRI,0,0.008154944
SUI,0.1319444,0.05889682
LAT,0,0.003171367
LIB,0,0.01008042
GEO,0,0.002718315
ROU,0,0.01245894
CAN,0.006944444,0.04745724
USA,0.1319444,0.06252123
ESP,0,0.02469136
TOG,0,0.0002265262
FRA,0.1041667,0.05391324
ARG,0,0.02967493
SWE,0.01388889,0.03443199
IND,0,0.00181221
MAR,0,0.004983577
TUR,0,0.01211915
ITA,0.0625,0.05640503
DEN,0,0.002265262
AUT,0.2708333,0.06297429
BUL,0,0.01619663
GBR,0,0.03828293
MON,0,0.002944841
GRE,0,0.01132631
RUS,0.006944444,0.01279873
FIN,0.006944444,0.00985389
AUS,0,0.0159701
MEX,0,0.004417261
EUN,0,0.002151999
URS,0,0.01234568
CHI,0,0.01834862
KAZ,0,0.003511156
YUG,0.01388889,0.01698947
AZE,0,0.0007928418
AND,0,0.01189263
BRA,0,0.003737683
BOL,0,0.003511156
NZL,0.006944444,0.01223242
CYP,0,0.005323366
ISL,0,0.01642315
SVK,0,0.008154944
POL,0,0.01415789
FRG,0.03472222,0.01653641
HUN,0,0.01121305
CZE,0,0.01313852
GER,0.05555556,0.02888209
SMR,0,0.00328463
BIH,0,0.00328463
LIE,0.01388889,0.02321894
TCH,0,0.01336505
IRL,0,0.001925473
SLO,0.01388889,0.0224261
BEL,0,0.00543663
KGZ,0,0.0006795787
ALG,0,0.001132631
CRO,0.04166667,0.01053347
GUA,0,0.001245894
MNE,0,0.0005663155
KOR,0,0.008607997
ISV,0,0.001019368
TPE,0,0.003171367
CRC,0,0.001698947
JPN,0.006944444,0.0224261
PRK,0,0.0003397893
PHI,0,0.0006795787
BLR,0,0.001585684
COL,0,0.0002265262
POR,0,0.001019368
CHN,0,0.003624419
SCG,0,0.001359157
TJK,0,0.001132631
PUR,0,0.001585684
EGY,0,0.0003397893
UZB,0,0.001359157
UKR,0,0.004077472
SWZ,0,0.0003397893
LUX,0.01388889,0.001585684
SEN,0,0.002038736
TLS,0,0.0001132631
ARM,0,0.001245894
RSA,0,0.001359157
URU,0,0.0001132631
SRB,0,0.001359157
MDA,0,0.0004530524
MKD,0,0.001359157
LTU,0,0.001132631
ALB,0,0.0007928418
GHA,0,0.0001132631
EST,0,0.00147242
PER,0,0.0009061049
NED,0,0.0009061049
VEN,0,0.0001132631
MLT,0,0.0002265262
MAD,0,0.0002265262
ISR,0,0.0004530524
GDR,0,0.0003397893
ZIM,0,0.0002265262
THA,0,0.0003397893
FIJ,0,0.0002265262
CAY,0,0.0003397893
