countries,P(N|X),P(N)
MAR,0,0.000428449
EGY,0,0.004712939
RUS,0.025,0.0201371
IRI,0,0.002142245
USA,0.1583333,0.07497858
AUS,0,0.03127678
MLT,0,0.001713796
COL,0,0.007283633
TUR,0,0.02442159
JPN,0.025,0.03941731
NOR,0,0.007712082
KSA,0,0.002142245
IRQ,0,0.000428449
PHI,0,0.00428449
ITA,0.05,0.03984576
INA,0.025,0.01628106
BEL,0.1166667,0.03470437
CAN,0,0.01970865
MEX,0.008333334,0.02399315
ESP,0,0.01542416
THA,0,0.002999143
DEN,0,0.01156812
SWE,0.01666667,0.02913453
UKR,0.025,0.02699229
MAS,0,0.008568981
KEN,0,0.001713796
GBR,0.01666667,0.05698372
BRA,0,0.008997429
CUB,0,0.003427592
FRA,0.2083333,0.0646958
URS,0.025,0.01071123
EUN,0,0.005141388
NED,0,0.02313625
FIN,0.025,0.01928021
CHN,0.1166667,0.041988
SVK,0,0.000856898
HUN,0,0.005998286
AUT,0,0.001713796
LUX,0,0.00428449
ZIM,0,0.003856041
IND,0,0.02399315
KAZ,0,0.01156812
FRG,0,0.01028278
ARG,0,0.000856898
PUR,0,0.002999143
ROU,0,0.002142245
JOR,0,0.000428449
MGL,0,0.009425879
RSA,0,0.005569837
VEN,0,0.002142245
CZE,0,0.000856898
POL,0.008333334,0.02827764
MRI,0,0.001285347
SUI,0,0.006855184
GUM,0,0.000428449
DOM,0,0.000428449
HKG,0,0.004712939
KOR,0.09166667,0.0437018
TPE,0.025,0.03727506
BHU,0,0.01456727
PRK,0,0.008140531
IRL,0,0.004712939
MON,0,0.000856898
MAW,0,0.000428449
POR,0,0.003427592
GEO,0,0.007712082
TCH,0,0.001713796
NZL,0,0.00428449
LBA,0,0.000428449
FIJ,0,0.001285347
GER,0.03333334,0.01628106
CRC,0,0.002142245
SMR,0,0.001285347
MYA,0,0.002142245
BUL,0,0.002999143
TGA,0,0.001285347
GRE,0,0.007283633
TJK,0,0.000856898
BLR,0,0.00428449
EST,0,0.001713796
SLO,0,0.003856041
CIV,0,0.000856898
VAN,0,0.000428449
YUG,0,0.000856898
ESA,0,0.000856898
BAN,0,0.000856898
MDA,0,0.001713796
CYP,0,0.000856898
SAM,0,0.000856898
NEP,0,0.000428449
QAT,0,0.000428449
AZE,0,0.000428449
CHI,0,0.001285347
SOL,0,0.000428449
LAO,0,0.000428449
UGA,0,0.000428449
ASA,0,0.000428449
CAF,0,0.000428449
