countries,P(N|X),P(N)
FIN,0.06122449,0.002515372
GER,0.1836735,0.09949692
FRA,0.122449,0.1022918
BEL,0.04081633,0.04779206
USA,0.08163265,0.157071
SWE,0.04081633,0.02990497
GBR,0.06122449,0.09474567
ITA,0.1020408,0.05282281
HUN,0.02040816,0.02431526
NED,0.04081633,0.05841252
DEN,0,0.02906652
AUT,0.06122449,0.05561766
LAT,0,0.006707658
JPN,0,0.03605366
POL,0.06122449,0.04555618
GRE,0.02040816,0.002515372
TCH,0,0.02431526
RSA,0,0.0058692
CAN,0,0.02319732
PER,0,0.0008384573
SUI,0.06122449,0.04415875
ISL,0,0.0002794857
YUG,0,0.004192286
IRL,0,0.0117384
IND,0,0.0005589715
CHN,0,0.001397429
ESP,0,0.0008384573
ROU,0,0.0008384573
CUB,0,0.0008384573
BRA,0,0.0002794857
COL,0,0.0002794857
ESA,0,0.001117943
UNK,0,0.0005589715
VEN,0,0.0002794857
TUR,0,0.0008384573
NOR,0,0.004751258
URU,0,0.002235886
POR,0,0.0002794857
ARG,0,0.0005589715
LUX,0.04081633,0.0117384
HAI,0,0.0002794857
EGY,0,0.0008384573
BUL,0,0.001397429
MON,0,0.002235886
GUA,0,0.0002794857
PHI,0,0.0005589715
BOL,0,0.0002794857
RUS,0,0.001117943
MEX,0,0.005030743
AUS,0,0.0008384573
BOH,0,0.0002794857
