countries,P(N|X),P(N)
NED,0.002998501,0.01323012
FIN,0.03148426,0.02361226
EST,0.0007496252,0.00323633
NOR,0.003748126,0.009087614
FRA,0.02998501,0.03883596
ESP,0.003748126,0.01649234
RUS,0.03373313,0.01563795
URS,0.05247376,0.02213649
ITA,0.01349325,0.02643434
GRE,0.01049475,0.01729495
NCA,0,0.0009838443
CHA,0,0.0009579536
KUW,0,0.001268641
BRN,0.0007496252,0.001890017
PAK,0,0.003365783
LIB,0,0.0007508285
AZE,0,0.0005437034
USA,0.2376312,0.08313484
ERI,0,0.001061516
TAN,0.00149925,0.002640845
JOR,0,0.0005437034
EGY,0,0.00163111
UAR,0,5.178128E-05
SUD,0.0007496252,0.001372204
LBA,0,0.0006990472
ALG,0.002248876,0.003598799
BEL,0.007496252,0.01343724
AUS,0.02773613,0.02573529
QAT,0.0007496252,0.00243372
DJI,0,0.0007249379
COM,0,0.0003624689
BRU,0,0.0001553438
IRQ,0,0.001294532
IND,0.00149925,0.006964582
MDV,0,0.0008543911
MAS,0,0.001708782
YAR,0,0.0001812345
NGR,0.007496252,0.0107964
CAN,0.01949026,0.02985191
UAE,0,0.0005954847
EUN,0.01049475,0.002951533
UZB,0,0.00243372
JPN,0.01124438,0.02024648
ETH,0.006746626,0.007482395
GER,0.04797601,0.03246686
CMR,0,0.002511392
SWE,0.02623688,0.02607187
TUR,0.00149925,0.005799503
SOM,0,0.0008285004
SYR,0,0.0008285004
NIG,0,0.0005437034
SUI,0.004497751,0.01089996
CRC,0,0.001061516
PAN,0,0.000932063
GBR,0.09970015,0.05809859
BLR,0.004497751,0.006369097
GUY,0,0.001372204
GEO,0,0.0004660315
POR,0.00149925,0.008414458
COL,0.0007496252,0.005385253
FRG,0.01274363,0.01014913
BAN,0,0.0007249379
PLE,0,0.0002589064
PER,0,0.002071251
KSA,0.0007496252,0.002718517
CUB,0.01724138,0.01144366
CHI,0.00149925,0.004323737
URU,0,0.001320423
VEN,0.0007496252,0.003029205
GHA,0,0.004919221
UGA,0,0.003702361
SLO,0.00149925,0.002511392
ECU,0.0007496252,0.002148923
ARG,0.002248876,0.006394987
MEX,0.004497751,0.009631317
SEY,0,0.00121686
GDR,0.03823088,0.009475973
POL,0.02098951,0.02203293
HUN,0.01124438,0.01985812
SKN,0,0.001087407
TTO,0.005247376,0.006446769
VIN,0,0.000932063
NZL,0.002248876,0.006136081
JAM,0.05622189,0.01760563
PHI,0,0.002485501
LBR,0,0.001812345
ISR,0,0.002174814
CIV,0.0007496252,0.002589064
PLW,0,0.0002330157
TOG,0,0.0008026098
BRA,0.005247376,0.01343724
DMA,0,0.0003883596
BEN,0,0.001087407
DEN,0.002998501,0.006653894
ARM,0,0.0004660315
LUX,0,0.002640845
PUR,0,0.003987158
BIZ,0,0.0009838443
KEN,0.02998501,0.01206504
YMD,0,7.767192E-05
MTN,0,0.000569594
LTU,0.0007496252,0.002899752
AUT,0.00149925,0.008466238
MAR,0.003748126,0.005100456
ANZ,0,0.000569594
KAZ,0,0.003572908
SLE,0,0.002563173
SAM,0,0.0003365783
PNG,0,0.001553438
UKR,0.002248876,0.01009735
YEM,0,0.0003624689
OMA,0,0.0009838443
