countries,P(N|X),P(N)
FIN,0,0.009608786
SGP,0,0.01441318
ESP,0,0.00754976
GBR,0.06666667,0.05696637
SEY,0,0.001372684
INA,0.1333333,0.06726149
NGR,0,0.003431709
SUI,0,0.008236102
ITA,0,0.002059025
THA,0,0.03431709
NOR,0,0.002059025
SWE,0,0.02402196
MEX,0,0.002059025
EUN,0,0.001372684
RUS,0.03333334,0.02059025
NED,0,0.0212766
IND,0.01666667,0.01853123
POL,0,0.02196294
DEN,0.1,0.07137955
USA,0,0.02264928
KOR,0.2,0.07687028
ROU,0,0.0006863418
AUT,0,0.006177076
AUS,0,0.03912148
CHN,0.3833333,0.0885381
TUR,0,0.001372684
MRI,0,0.01853123
CAN,0,0.04186685
PER,0,0.003431709
BUL,0,0.02196294
RSA,0,0.01509952
SUR,0,0.002059025
MAS,0.05,0.03500343
HKG,0,0.0247083
TPE,0,0.02333562
BLR,0,0.004118051
NZL,0,0.01029513
GUA,0,0.003431709
HUN,0,0.004804393
FRA,0,0.01372684
UKR,0,0.01235415
UGA,0,0.001372684
JPN,0.01666667,0.05010295
IRL,0,0.004804393
SVK,0,0.001372684
POR,0,0.008236102
GER,0,0.03431709
CUB,0,0.0006863418
ISL,0,0.005490734
EGY,0,0.001372684
SRI,0,0.003431709
CZE,0,0.004118051
BEL,0,0.004118051
TCH,0,0.001372684
ALG,0,0.0006863418
VIE,0,0.003431709
PHI,0,0.0006863418
ZAM,0,0.0006863418
IRI,0,0.0006863418
EST,0,0.003431709
LTU,0,0.002059025
TTO,0,0.0006863418
BRA,0,0.001372684
GRE,0,0.001372684
SLO,0,0.002059025
MDV,0,0.0006863418
JAM,0,0.0006863418
BRU,0,0.0006863418
ISR,0,0.001372684
