countries,P(N|X),P(N)
CHN,0.03064067,0.04916226
ESP,0.1337047,0.04210758
EGY,0,0.01697531
ITA,0.06685237,0.04056437
USA,0.06685237,0.07517637
JPN,0,0.02535273
CUB,0,0.02667549
RUS,0,0.0207231
PHI,0,0.01741623
GBR,0,0.008156966
CAN,0.02506964,0.03924162
URU,0,0.01785714
MEX,0,0.01851852
ARG,0,0.01940035
BRA,0.03342618,0.05621693
LTU,0,0.01829806
PUR,0,0.02380952
IRI,0,0.005511464
PAN,0,0.002645503
AUS,0.1002785,0.05776014
IRQ,0,0.002204586
PER,0,0.007054674
THA,0,0.001984127
NGR,0,0.007716049
URS,0.1392758,0.03218695
CRO,0.03342618,0.0127866
MAR,0,0.002645503
TUR,0,0.009259259
SUI,0,0.007936508
ANG,0,0.01565256
EST,0,0.001763668
GRE,0,0.01322751
FRA,0.1058496,0.03240741
COD,0,0.002645503
ISR,0,0.002645503
FRG,0,0.005291005
KOR,0.03064067,0.02954145
LAT,0,0.004188713
SWE,0,0.002645503
GER,0,0.007495591
TCH,0,0.0271164
BLR,0,0.004850088
YUG,0.1337047,0.02910053
CHI,0,0.009479717
BUL,0.03342618,0.01873898
SCG,0.03342618,0.007936508
SEN,0,0.01322751
BEL,0,0.007495591
MLI,0,0.002645503
HUN,0,0.01344797
EUN,0,0.005291005
CZE,0,0.007936508
NZL,0,0.01322751
CAF,0,0.002645503
TUN,0,0.002645503
POL,0,0.0180776
SRB,0.03342618,0.005291005
IRL,0,0.002865961
UKR,0,0.002645503
ROU,0,0.002645503
SGP,0,0.002204586
TPE,0,0.002425044
VEN,0,0.004850088
IND,0,0.002645503
FIN,0,0.005070547
SVK,0,0.002645503
