countries,P(N|X),P(N)
ANG,0,0.003546099
VEN,0,0.007092198
GER,0,0.07446808
CRC,0,0.003546099
BRA,0.5833333,0.08510638
CUB,0,0.0248227
ITA,0.08333334,0.04255319
TUN,0,0.003546099
AUS,0,0.06382979
GRE,0,0.0248227
JPN,0,0.03191489
RSA,0,0.0141844
CAN,0,0.04609929
ESP,0.08333334,0.03191489
ARG,0,0.0248227
RUS,0,0.03191489
SUI,0,0.04255319
CZE,0,0.03191489
SWE,0,0.0106383
AUT,0,0.03546099
NOR,0,0.04255319
USA,0.1666667,0.09219858
NED,0,0.04964539
POR,0,0.0141844
POL,0,0.0141844
MEX,0,0.0212766
FRA,0,0.0177305
CHN,0.08333334,0.03546099
GBR,0,0.0106383
EGY,0,0.003546099
GEO,0,0.007092198
CHI,0,0.003546099
NZL,0,0.003546099
PUR,0,0.003546099
EST,0,0.007092198
INA,0,0.007092198
MRI,0,0.003546099
BEL,0,0.003546099
QAT,0,0.003546099
LAT,0,0.0141844
BUL,0,0.007092198
