countries,P(N|X),P(N)
MAR,0,0.01372581
IRI,0,0.009095419
BUL,0.01587302,0.01637175
SUD,0,0.003307425
CMR,0,0.006945593
CHI,0,0.006284108
NGR,0,0.0120721
ALG,0.003968254,0.01141062
EGY,0,0.01339507
KAZ,0.02777778,0.00926079
IRQ,0,0.003638168
AZE,0,0.006118737
UZB,0.01587302,0.008268563
RUS,0.03968254,0.01058376
KGZ,0,0.001984455
ARM,0,0.002976683
BEN,0,0.002149826
URS,0.05555556,0.01587564
BRA,0.003968254,0.0132297
CHN,0.01190476,0.008268563
PUR,0,0.01471804
CIV,0,0.00132297
CUB,0.1468254,0.02083678
URU,0,0.005953365
TKM,0,0.001157599
POL,0.03174603,0.02265586
GBR,0.07142857,0.03704316
GHA,0,0.00926079
PHI,0,0.01240284
USA,0.1984127,0.04216967
SYR,0,0.003142054
ETH,0,0.004465024
UGA,0,0.01174136
SWE,0,0.01273359
GRE,0,0.005457251
ARG,0.02777778,0.02199438
TOG,0,0.00132297
GUI,0,0.001157599
FIN,0.007936508,0.01190673
PAK,0,0.007937821
SCG,0,0.0001653713
KEN,0.003968254,0.01025302
DEN,0.003968254,0.01389119
LIB,0,0.001488341
KUW,0,0.0004961138
OMA,0,0.0003307425
JOR,0,0.0008268563
FRA,0.02380952,0.02844386
ITA,0.05952381,0.02893997
ROU,0.003968254,0.01901769
NCA,0,0.002315198
SAM,0,0.002976683
CAN,0.01190476,0.02331735
GUY,0,0.002976683
SEY,0,0.002315198
TAN,0,0.005953365
ESP,0,0.01190673
COL,0,0.007772449
MEX,0.007936508,0.01604101
HUN,0.03968254,0.01819084
VEN,0.003968254,0.01356044
NAM,0,0.002149826
AUT,0,0.006118737
NIG,0,0.002149826
DOM,0.003968254,0.008433934
KOR,0.01190476,0.01819084
ECU,0,0.00396891
GDR,0.01984127,0.007441706
IRL,0.007936508,0.02050604
RSA,0.02380952,0.01240284
NOR,0.003968254,0.008930048
BEL,0.003968254,0.009426162
HON,0,0.0009922276
SUI,0,0.006284108
EUN,0,0.001984455
BLR,0,0.003638168
JPN,0.007936508,0.01273359
CRC,0,0.0004961138
NZL,0.003968254,0.004630395
THA,0.01587302,0.01372581
INA,0,0.003472796
HAI,0,0.0009922276
MAD,0,0.001984455
GER,0.01984127,0.0178601
ESA,0,0.0003307425
PAN,0,0.0008268563
GUA,0,0.001157599
TUR,0,0.01124525
MAW,0,0.00264594
NED,0.003968254,0.01074913
MGL,0.003968254,0.008930048
LUX,0,0.004795766
PNG,0,0.002480569
RHO,0,0.000661485
MLI,0,0.000661485
ANZ,0,0.0001653713
SVK,0,0.0003307425
AUS,0,0.02067141
SLE,0,0.001488341
COD,0,0.002315198
BOT,0,0.001653713
FRG,0.003968254,0.006118737
SOL,0,0.0001653713
MYA,0,0.003307425
TUN,0,0.007772449
YUG,0.01190476,0.007441706
MDA,0,0.00132297
ISR,0,0.0008268563
JAM,0,0.003638168
UKR,0.01587302,0.007110964
TCH,0.01190476,0.008433934
IND,0,0.00926079
NEP,0,0.002480569
LTU,0,0.002976683
MAS,0,0.0004961138
ZIM,0,0.001819084
PAR,0,0.000661485
CAF,0,0.0009922276
GAB,0,0.001984455
ISV,0,0.001653713
SRI,0,0.002315198
PER,0,0.00132297
BER,0,0.000661485
ZAM,0,0.008433934
ANG,0,0.001157599
BOL,0,0.0001653713
GEO,0,0.001819084
TPE,0,0.003472796
FSM,0,0.0001653713
CZE,0,0.001157599
PRK,0.007936508,0.004134282
TJK,0,0.001653713
MRI,0,0.002315198
GRN,0,0.001488341
BAR,0,0.001488341
LAO,0,0.001488341
BAH,0,0.001157599
VIE,0,0.0003307425
GUM,0,0.0001653713
CRO,0,0.00132297
SEN,0,0.0009922276
MNE,0,0.0003307425
SRB,0,0.0001653713
BIZ,0,0.0001653713
CAM,0,0.0008268563
UAR,0,0.000661485
QAT,0,0.0003307425
AFG,0,0.0008268563
TGA,0,0.002149826
MOZ,0,0.0008268563
ANT,0,0.0003307425
CPV,0,0.0003307425
LBR,0,0.000661485
LAT,0,0.0004961138
CHA,0,0.0001653713
FIJ,0,0.0008268563
SAA,0,0.0004961138
VAN,0,0.0003307425
GAM,0,0.0001653713
YMD,0,0.0003307425
BUR,0,0.000661485
SGP,0,0.0001653713
LES,0,0.001653713
CGO,0,0.0008268563
HKG,0,0.0003307425
TTO,0,0.0008268563
SWZ,0,0.00132297
COK,0,0.0004961138
ASA,0,0.0008268563
POR,0,0.0001653713
AND,0,0.0001653713
ARU,0,0.0003307425
EST,0,0.000661485
IOA,0,0.0001653713
VNM,0,0.0001653713
