countries,P(N|X),P(N)
USA,0,0.05890726
FIN,0.1367188,0.0646009
EST,0.015625,0.02157013
ESP,0,0.01182525
CRO,0,0.00503668
URS,0.171875,0.02704478
SWE,0.2109375,0.06525785
SUI,0.01171875,0.04543962
JPN,0,0.03514727
ITA,0.05859375,0.05781233
KOR,0,0.01171576
KAZ,0.00390625,0.02627833
ARG,0,0.004489215
ROU,0,0.01073032
AUS,0,0.006679076
CAN,0.0078125,0.04062192
NOR,0.2109375,0.06328698
MEX,0,0.0007664514
RUS,0.08984375,0.02792073
GER,0.0234375,0.03810358
TOG,0,0.000109493
GRE,0,0.005474652
GDR,0.01953125,0.01565751
LAT,0,0.006679076
GBR,0,0.0142341
BUL,0,0.01927078
FRA,0,0.04193584
POL,0.0078125,0.031534
BLR,0,0.01992773
UKR,0,0.01642396
LTU,0,0.006679076
TUR,0,0.007336034
YUG,0,0.01467207
BIH,0,0.0009854374
SVK,0,0.01051133
MDA,0,0.0009854374
CZE,0.00390625,0.02255557
TCH,0,0.03022008
HUN,0,0.005584145
MGL,0,0.006569583
IRL,0,0.0004379722
FRG,0,0.01401511
AUT,0.00390625,0.02638782
BRA,0,0.0008759444
SLO,0,0.008211979
ALG,0,0.0002189861
DEN,0,0.003613271
ISL,0,0.005803131
KEN,0,0.0004379722
EUN,0.0234375,0.004379722
GUA,0,0.0004379722
NZL,0,0.0005474652
PER,0,0.0002189861
TPE,0,0.0007664514
PRK,0,0.001532903
CHN,0,0.01489105
MAR,0,0.0006569583
MKD,0,0.00109493
DMA,0,0.000109493
LIE,0,0.00503668
CHI,0,0.000109493
ARM,0,0.002408847
SRB,0,0.0008759444
LIB,0,0.000109493
IND,0,0.0003284791
NEP,0,0.0005474652
CRC,0,0.0007664514
RSA,0,0.0004379722
SCG,0,0.0002189861
CMR,0,0.0002189861
IRI,0,0.0005474652
BER,0,0.0002189861
THA,0,0.0003284791
HON,0,0.0003284791
LUX,0,0.000109493
KGZ,0,0.000109493
FIJ,0,0.0002189861
SMR,0,0.0006569583
POR,0,0.0002189861
AND,0,0.0007664514
ETH,0,0.0002189861
