countries,P(N|X),P(N)
FRA,0.0917647,0.06252878
BUL,0,0.00745925
RUS,0.02117647,0.01602357
EGY,0,0.001197164
USA,0.07294118,0.04816281
ETH,0,0.005157012
LBA,0,0.001289253
URS,0.01882353,0.01390552
UZB,0,0.0004604476
JPN,0.007058823,0.01565522
LIB,0,0.001197164
GUY,0,0.001473432
VEN,0,0.009577309
COL,0.002352941,0.01777328
IRI,0,0.006446266
SUI,0.03529412,0.02670596
ARG,0,0.01648402
NZL,0.01176471,0.02118059
SWE,0.02588235,0.0219173
GBR,0.16,0.05838475
GER,0.07294118,0.03830924
HUN,0,0.01114283
NAM,0,0.0009208951
BEL,0.02823529,0.03131044
MAR,0,0.00184179
DEN,0.03764706,0.02974491
CYP,0,0.000368358
ESP,0.01411765,0.02136477
MEX,0.002352941,0.01298462
TOG,0,0.0004604476
MAS,0,0.004696565
AUS,0.06823529,0.03941431
TUR,0,0.003683581
NED,0.05882353,0.04355834
UAE,0,0.001473432
KSA,0,0.001289253
BRN,0,0.0006446266
OMA,0,9.208951E-05
GRE,0.007058823,0.00755134
FRG,0.02117647,0.008564324
URU,0.002352941,0.00948522
CUB,0.002352941,0.006446266
JAM,0,0.003223133
LAT,0,0.00570955
LUX,0,0.006630445
ITA,0.08,0.04116401
PAK,0,0.002854775
BAR,0,0.002210148
PER,0,0.002394327
CHI,0,0.008103877
AUT,0,0.01970715
CRC,0,0.00184179
BRA,0,0.008748503
IND,0,0.003683581
COD,0,0.001657611
POR,0.002352941,0.003499402
GDR,0.04705882,0.006814624
KOR,0,0.01040612
CAN,0.01176471,0.02965282
NOR,0,0.01399761
CZE,0.002352941,0.006998803
UKR,0.009411764,0.00930104
LTU,0,0.00745925
GUA,0,0.003223133
PHI,0,0.002486417
IRQ,0,0.0002762685
TTO,0,0.004328207
EST,0,0.002854775
RSA,0.02117647,0.01252417
AZE,0,0.0005525371
CMR,0,0.002578506
PUR,0,0.0004604476
FIN,0,0.01132701
ROU,0,0.003223133
YUG,0,0.00755134
CAY,0,0.002854775
TCH,0.007058823,0.01593149
POL,0.04470588,0.02228566
SLO,0,0.003315222
MGL,0,0.002210148
EUN,0,0.00193388
SVK,0,0.004144028
KAZ,0.002352941,0.00377567
GUM,0,0.001657611
BOL,0,0.0009208951
TUN,0,0.0009208951
ISR,0,0.000368358
ALG,0,0.0005525371
MDA,0,0.001105074
MLT,0,0.001657611
ESA,0,0.001565522
BLR,0,0.003499402
THA,0,0.004604476
IOA,0,0.0007367161
INA,0,0.001105074
VNM,0,0.002854775
BAH,0,0.000184179
UGA,0,0.000184179
RWA,0,0.0005525371
TLS,0,9.208951E-05
CHN,0.009411764,0.008840594
ECU,0,0.002394327
SMR,0,0.001473432
IRL,0,0.006722534
HKG,0,0.004972834
BIZ,0,0.002486417
TPE,0,0.00377567
MAW,0,0.001565522
PRK,0,0.0002762685
ANT,0,0.001565522
SRI,0,9.208951E-05
SRB,0,0.0005525371
ARU,0,0.0002762685
CRO,0,0.0007367161
LIE,0,0.001289253
NCA,0,0.0009208951
BER,0,0.000368358
ISV,0,0.000184179
BEN,0,0.000184179
ARM,0,9.208951E-05
ZIM,0,0.0008288056
CAF,0,0.0006446266
AND,0,0.0004604476
KOS,0,9.208951E-05
MRI,0,0.000184179
SYR,0,9.208951E-05
BOH,0,0.001012985
VIE,0,9.208951E-05
SUR,0,0.0002762685
CAM,0,0.0007367161
DOM,0,9.208951E-05
LES,0,9.208951E-05
KEN,0,9.208951E-05
ALB,0,9.208951E-05
GEO,0,9.208951E-05
SAM,0,9.208951E-05
MON,0,9.208951E-05
LAO,0,9.208951E-05
FIJ,0,9.208951E-05
MAD,0,9.208951E-05
WIF,0,0.0002762685
SCG,0,9.208951E-05
ERI,0,0.000184179
KGZ,0,0.0004604476
SLE,0,9.208951E-05
