countries,P(N|X),P(N)
CUB,0,0.01161154
EGY,0,0.01055595
CAN,0.007042253,0.05489092
GDR,0.01408451,0.01513019
KUW,0,0.002814919
MEX,0.007042253,0.05770584
GER,0.04225352,0.05594652
AUS,0.02112676,0.05348346
AUT,0,0.02638987
SWE,0.04225352,0.05383533
EUN,0,0.002814919
KAZ,0,0.004574243
PUR,0,0.004926108
GBR,0.01408451,0.07776214
URS,0.02816901,0.03518649
BLR,0,0.006685433
USA,0.3380282,0.09781843
ESP,0,0.013019
PER,0,0.001055595
INA,0,0.001407459
DEN,0.007042253,0.01020408
NOR,0,0.008444757
COL,0,0.008444757
FRA,0,0.02814919
GRE,0.01408451,0.009148487
JPN,0,0.03237157
FIN,0,0.01724138
ARM,0,0.001055595
MAS,0,0.01266714
ROU,0,0.008092892
ANZ,0,0.0003518649
TCH,0.007042253,0.006685433
NED,0,0.01231527
RUS,0.04225352,0.0270936
HUN,0,0.01372273
ITA,0.02112676,0.03518649
ZIM,0,0.005981703
SUI,0,0.007741028
SRI,0,0.0007037297
UKR,0,0.02216749
BRA,0,0.01618578
FRG,0,0.01372273
BEL,0,0.004222379
CHN,0.3943662,0.03940887
VEN,0,0.006333568
DOM,0,0.001759324
AZE,0,0.0007037297
TPE,0,0.002111189
PRK,0,0.01090781
KOR,0,0.009500352
NZL,0,0.002111189
IRL,0,0.0007037297
PHI,0,0.001407459
RSA,0,0.002463054
IRI,0,0.0003518649
POR,0,0.0003518649
THA,0,0.002111189
GEO,0,0.001055595
BUL,0,0.001759324
POL,0,0.007389163
ARG,0,0.003166784
BER,0,0.001407459
UAR,0,0.001407459
CRC,0,0.0007037297
BAR,0,0.0003518649
BOL,0,0.0007037297
URU,0,0.0003518649
TUR,0,0.0007037297
JAM,0,0.0007037297
HKG,0,0.002463054
CZE,0,0.0003518649
CRO,0,0.0003518649
RHO,0,0.0003518649
CHI,0,0.001407459
TJK,0,0.0007037297
IND,0,0.0007037297
ISR,0,0.001055595
BAH,0,0.0003518649
SYR,0,0.0007037297
ECU,0,0.0007037297
SCG,0,0.0007037297
YUG,0,0.0007037297
