countries,P(N|X),P(N)
NOR,0.00931677,0.009457755
IRL,0,0.02884615
ARG,0.00310559,0.02459016
DEN,0.01242236,0.0220681
FRA,0.08074534,0.07298235
SWE,0.07453416,0.06163304
SUI,0.0931677,0.04350568
RUS,0,0.005517024
MEX,0.00310559,0.02916141
GER,0.09937888,0.04744641
IND,0,0.001576293
HUN,0,0.01324086
QAT,0,0.001261034
KSA,0,0.004413619
UAE,0,0.0001576293
JAM,0,0.0003152585
USA,0.1521739,0.07187894
GBR,0.1055901,0.05958386
BRA,0,0.02679697
ESP,0.02173913,0.03199874
ITA,0.04968944,0.04618537
AUT,0.01242236,0.01733922
AUS,0.02173913,0.03641236
FRG,0.04037267,0.01686633
KOR,0,0.00851198
CAN,0.01552795,0.04098361
VEN,0,0.001576293
ROU,0.00310559,0.008984867
URS,0.02173913,0.02553594
BUL,0.00931677,0.01182219
GRE,0,0.001891551
POL,0.0310559,0.02017654
FIN,0,0.008984867
JPN,0,0.03136822
TUR,0,0.006147541
POR,0,0.01828499
CHI,0.01242236,0.008039092
NED,0.0962733,0.03909206
LIE,0,0.0001576293
NZL,0.01552795,0.01907314
GDR,0,0.004413619
COL,0,0.002994956
RSA,0,0.0007881463
PUR,0,0.001103405
JOR,0,0.000630517
BER,0,0.001733922
BEL,0.01552795,0.03247163
ISV,0,0.000630517
TCH,0,0.008984867
THA,0,0.0003152585
HKG,0,0.0009457755
EUN,0,0.002364439
PHI,0,0.0004728878
URU,0,0.001418663
PER,0,0.0003152585
GUA,0,0.0009457755
EGY,0,0.002994956
BLR,0,0.0009457755
CAM,0,0.0003152585
UAR,0,0.0009457755
SYR,0,0.0001576293
CZE,0,0.0003152585
CHN,0,0.001733922
UKR,0,0.00409836
ZIM,0,0.0001576293
YUG,0,0.001103405
DOM,0,0.0001576293
ECU,0,0.0004728878
BOL,0,0.0004728878
IRI,0,0.0001576293
MAR,0,0.0003152585
CRO,0,0.0003152585
AZE,0,0.0003152585
AHO,0,0.0003152585
TPE,0,0.0001576293
PLE,0,0.0001576293
