countries,P(N|X),P(N)
NOR,0,0.009687937
ESP,0.001766784,0.01304145
GRE,0.005300353,0.01387983
MEX,0,0.01183046
HUN,0.1289753,0.05850023
EGY,0,0.01686074
UAR,0,0.0008383791
JPN,0,0.0157429
IRI,0,0.005216581
SWE,0.01236749,0.0229157
KSA,0,0.001117839
URS,0.06360424,0.02598975
JOR,0,0.0001863065
CHI,0,0.004191895
USA,0.08303887,0.06427573
GBR,0,0.05496041
FRA,0.1572438,0.09147648
BEL,0.0335689,0.03204471
TCH,0,0.01006055
GER,0.06713781,0.03558454
AUS,0,0.01369353
TUR,0,0.003260363
POL,0.06713781,0.03856544
NED,0.05300353,0.02347462
CUB,0.01236749,0.01676758
ITA,0.1272085,0.06856078
BRA,0,0.008756405
ARG,0.008833922,0.02226362
DEN,0.005300353,0.02133209
COL,0,0.005775501
RUS,0.0335689,0.0203074
KUW,0,0.005309734
BRN,0,0.0006520727
QAT,0,9.315323E-05
IOA,0,0.0001863065
SUI,0.02120141,0.02217047
KAZ,0,0.0009315324
PHI,0,0.0001863065
MAR,0,0.002794597
INA,0,0.001024686
FRG,0.001766784,0.01425245
ISR,0,0.001956218
PAR,0,0.0008383791
CAN,0,0.02403354
LUX,0,0.005402888
BUL,0,0.004285049
TUN,0.001766784,0.002515137
AHO,0,0.0003726129
BEN,0,9.315323E-05
FIN,0,0.005682347
ROU,0.04593639,0.02897066
IRL,0,0.004937122
HKG,0,0.00633442
LIB,0,0.005123428
POR,0.01060071,0.01052632
SAA,0,0.001397299
CHN,0.008833922,0.02114579
RSA,0,0.003074057
BOH,0.01060071,0.004750815
PER,0,0.0007452259
AUT,0.008833922,0.02002795
GEO,0,0.0001863065
NZL,0,0.0007452259
GDR,0,0.004657662
EST,0,0.00288775
URU,0,0.004191895
ALG,0,0.001956218
VEN,0,0.008383791
CZE,0,0.0002794597
MON,0,0.0006520727
BOL,0,0.0003726129
UKR,0.005300353,0.008476945
SEN,0,0.0005589194
BLR,0,0.002235678
GUA,0,0.0006520727
KOR,0.01413428,0.01844434
THA,0,0.001769911
PUR,0,0.001210992
HAI,0,0.0004657662
CRC,0,0.0001863065
VIE,0,0.0004657662
ISV,0,0.0004657662
YUG,0,0.002328831
EUN,0.01060071,0.002980903
PAN,0,0.0002794597
TPE,0,0.0008383791
AZE,0,0.0003726129
CRO,0,9.315323E-05
KGZ,0,0.0001863065
CGO,0,9.315323E-05
UZB,0,0.0002794597
VNM,0,0.0007452259
BUR,0,9.315323E-05
HON,0,9.315323E-05
CIV,0,9.315323E-05
SCG,0,0.0001863065
ZAM,0,9.315323E-05
SGP,0,0.0003726129
MAS,0,0.0003726129
ARU,0,0.0001863065
LAT,0,9.315323E-05
