countries,P(N|X),P(N)
ITA,0.02362205,0.03916449
USA,0.2283465,0.1275022
FRA,0.07086615,0.05657093
BUL,0,0.007832898
RUS,0.03937008,0.04612707
GBR,0.07874016,0.07571802
TUR,0,0.001740644
UZB,0,0.006527415
SWE,0.01574803,0.01305483
CAN,0.1102362,0.09921671
SUI,0.007874016,0.0256745
HUN,0.06299213,0.02654482
JPN,0.007874016,0.03959965
AUT,0.03937008,0.04395126
ESP,0,0.004786771
AZE,0,0.004786771
URS,0.06299213,0.04090514
LAT,0,0.003916449
ARM,0,0.003916449
FRG,0.02362205,0.01958225
SVK,0,0.002610966
GDR,0.05511811,0.01958225
GER,0.04724409,0.04743255
UKR,0.01574803,0.02654482
NOR,0.007874016,0.01087902
CHN,0.04724409,0.03046127
TCH,0.02362205,0.02654482
BEL,0.007874016,0.0100087
EUN,0.01574803,0.007397737
YUG,0,0.001740644
ISR,0,0.007397737
CZE,0,0.01087902
POL,0,0.01436031
AUS,0,0.01697128
FIN,0,0.01261967
KOR,0,0.01044386
ROU,0,0.006527415
CRO,0,0.002175805
DEN,0,0.003046127
BLR,0,0.00435161
NED,0,0.003481288
LTU,0,0.005221932
RSA,0,0.002610966
MEX,0,0.001740644
GEO,0,0.003046127
EST,0,0.006962576
PRK,0,0.005657093
KAZ,0.007874016,0.004786771
SLO,0,0.003046127
TPE,0,0.001740644
PHI,0,0.000435161
LUX,0,0.000870322
ARG,0,0.000435161
BRA,0,0.000435161
SCG,0,0.000435161
