countries,P(N|X),P(N)
ITA,0,0.03916449
USA,0.1221374,0.1275022
FRA,0.04580153,0.05657093
BUL,0,0.007832898
RUS,0.2442748,0.04612707
GBR,0.04580153,0.07571802
TUR,0,0.001740644
UZB,0,0.006527415
SWE,0.03816794,0.01305483
CAN,0.05343511,0.09921671
SUI,0,0.0256745
HUN,0,0.02654482
JPN,0.01526718,0.03959965
AUT,0.06870229,0.04395126
ESP,0,0.004786771
AZE,0,0.004786771
URS,0.1526718,0.04090514
LAT,0,0.003916449
ARM,0,0.003916449
FRG,0,0.01958225
SVK,0,0.002610966
GDR,0.02290076,0.01958225
GER,0.05343511,0.04743255
UKR,0.007633588,0.02654482
NOR,0.02290076,0.01087902
CHN,0.01526718,0.03046127
TCH,0.007633588,0.02654482
BEL,0.01526718,0.0100087
EUN,0.03816794,0.007397737
YUG,0,0.001740644
ISR,0,0.007397737
CZE,0,0.01087902
POL,0,0.01436031
AUS,0,0.01697128
FIN,0.01526718,0.01261967
KOR,0.007633588,0.01044386
ROU,0,0.006527415
CRO,0,0.002175805
DEN,0,0.003046127
BLR,0,0.00435161
NED,0.007633588,0.003481288
LTU,0,0.005221932
RSA,0,0.002610966
MEX,0,0.001740644
GEO,0,0.003046127
EST,0,0.006962576
PRK,0,0.005657093
KAZ,0,0.004786771
SLO,0,0.003046127
TPE,0,0.001740644
PHI,0,0.000435161
LUX,0,0.000870322
ARG,0,0.000435161
BRA,0,0.000435161
SCG,0,0.000435161
