countries,P(N|X),P(N)
SWE,0.02941176,0.05016008
UKR,0,0.03308431
FRA,0.1176471,0.06723586
BEL,0,0.001067236
GBR,0,0.02347919
KAZ,0,0.02347919
USA,0.2058824,0.1120598
SUI,0,0.06510139
JPN,0,0.05016008
LAT,0,0.002134472
RUS,0.02941176,0.07684098
NOR,0.05882353,0.03094984
AUT,0.02941176,0.0266809
EUN,0.02941176,0.008537887
CAN,0.2058824,0.1099253
SLO,0,0.009605123
AUS,0.05882353,0.06403415
ITA,0,0.02774813
GER,0.02941176,0.03094984
DEN,0,0.003201707
UZB,0,0.004268943
ARG,0,0.003201707
CHN,0.1176471,0.0416222
KOR,0,0.007470651
IVB,0,0.001067236
BLR,0.02941176,0.03521878
NED,0,0.001067236
ESP,0,0.007470651
BRA,0,0.001067236
NZL,0,0.01067236
PUR,0,0.002134472
FIN,0.05882353,0.03628602
CHI,0,0.002134472
JAM,0,0.001067236
CZE,0,0.02027748
PAR,0,0.001067236
ROU,0,0.001067236
POR,0,0.001067236
ARM,0,0.001067236
POL,0,0.002134472
SVK,0,0.002134472
