countries,P(N|X),P(N)
USA,0.8,0.4696356
CHI,0,0.004048583
KOR,0,0.0242915
THA,0,0.01619433
IND,0,0.01214575
CAN,0,0.02834008
ISR,0,0.004048583
ITA,0,0.01619433
FRA,0,0.04453441
ESP,0,0.01619433
MEX,0,0.01214575
GER,0,0.01619433
HKG,0,0.004048583
MAS,0,0.01619433
BEL,0,0.01214575
BRA,0,0.01214575
GBR,0.06666667,0.04453441
CHN,0,0.01619433
NZL,0.06666667,0.01214575
AUS,0,0.01619433
ARG,0,0.008097166
POR,0,0.008097166
PAR,0,0.008097166
MAR,0,0.004048583
IRL,0,0.01619433
JPN,0,0.01619433
FIN,0,0.01619433
SUI,0,0.008097166
DEN,0,0.01619433
NOR,0,0.01214575
TPE,0,0.01619433
SWE,0.06666667,0.01619433
NED,0,0.004048583
GRE,0,0.004048583
BAN,0,0.004048583
RSA,0,0.01619433
CZE,0,0.004048583
PHI,0,0.004048583
COL,0,0.004048583
VEN,0,0.004048583
RUS,0,0.004048583
AUT,0,0.008097166
