countries,P(N|X),P(N)
FIN,0.08344924,0.02673456
NOR,0.03059805,0.0129554
ESP,0.001390821,0.02370165
GER,0.02642559,0.03721871
UAR,0,0.001797282
EGY,0,0.006327929
GDR,0.07232267,0.01572621
ISR,0,0.003369903
RUS,0.0403338,0.01527689
ROU,0.07649513,0.04388363
POR,0,0.005466732
JPN,0.07510431,0.04553114
ITA,0.03198887,0.05103531
SWE,0.001390821,0.01830981
LUX,0,0.01621298
BUL,0.008344923,0.03646984
NED,0,0.01306774
CUB,0,0.01445314
FRG,0.001390821,0.01475269
MEX,0,0.009136181
GBR,0.06397775,0.04219867
FRA,0.05006954,0.05901075
GRE,0.005563282,0.005204628
UKR,0.01390821,0.01258097
YEM,0,0.0001497735
DEN,0.02781641,0.01104579
ISL,0,0.0009360842
USA,0.0876217,0.0753735
AUS,0,0.01920845
HUN,0.06258693,0.04650466
PAN,0,0.0001497735
ARG,0,0.004979968
PRK,0,0.009772719
BRA,0.001390821,0.007526117
URS,0.06675939,0.02984236
YUG,0.01529903,0.02422586
POL,0.009735744,0.0240012
BEL,0.03337969,0.007488674
TUR,0,0.000411877
CAN,0,0.02639757
KAZ,0,0.001684951
TCH,0.02364395,0.03957764
SUI,0.02920723,0.03231363
KOR,0.005563282,0.019171
LIE,0,0.0002621036
IRI,0,0.0004493204
IRL,0,0.0006739806
SLO,0,0.0008986408
BLR,0.005563282,0.008836634
EUN,0.005563282,0.003145243
AUT,0,0.01366683
PHI,0,0.0007488673
IND,0,0.003295016
CHN,0.04172462,0.0240012
TUN,0,0.0002995469
ALG,0,0.0008986408
BOH,0,0.0002621036
BAN,0,0.0001123301
COL,0,0.001385405
CHI,0,0.0004493204
TPE,0,0.00344479
UZB,0.001390821,0.001310518
PUR,0,0.001684951
MON,0,0.0002995469
MGL,0,0.001834725
ARM,0,0.0007488673
BAR,0,0.0002621036
BOL,0,0.0001872168
CRO,0,0.0009360842
TTO,0,0.0001497735
SAA,0,0.001797282
VIE,0,0.0005242071
MAR,0,0.001834725
CZE,0,0.001872168
GUA,0,0.0006739806
NZL,0,0.001909612
VEN,0,0.0008611974
NAM,0,0.0001872168
CYP,0,0.0002246602
GEO,0,0.0008986408
LTU,0,0.0008611974
SVK,0,0.001048414
RSA,0,0.001909612
SGP,0,0.0001497735
ECU,0,0.0007863107
MAS,0,0.0003369903
PER,0,0.0001497735
AZE,0,0.0006739806
DOM,0,7.488673E-05
LAT,0,0.001048414
HKG,0,0.0003369903
JAM,0,0.0001497735
SMR,0,0.0002621036
