countries,P(N|X),P(N)
CHN,0.04014599,0.02157327
CHA,0,0.000789266
TUR,0.003649635,0.008681926
EGY,0.003649635,0.009997369
TJK,0.003649635,0.002630887
CUB,0.05839416,0.02473033
KAZ,0.003649635,0.01289134
PLE,0,0.0005261773
MEX,0,0.00789266
SYR,0,0.002367798
POL,0.00729927,0.01973165
DOM,0,0.007103394
GBR,0.04014599,0.02920284
NGR,0,0.002893975
ALG,0.003649635,0.01368061
NED,0.0620438,0.02209945
MGL,0.01459854,0.02262563
SWE,0,0.007366483
ASA,0,0.000789266
AUT,0.003649635,0.0139437
IND,0,0.00394633
FRA,0.09124088,0.03551697
USA,0.02919708,0.02762431
TUN,0,0.009997369
ARG,0.003649635,0.01710076
MAR,0,0.007629571
FIN,0,0.007103394
UZB,0.01459854,0.01104972
GRE,0.003649635,0.006314128
IRQ,0,0.0005261773
KUW,0,0.006314128
UAE,0.003649635,0.001315443
YEM,0,0.002104709
ESP,0.00729927,0.01973165
NIG,0,0.000789266
CAF,0,0.001052355
EUN,0.00729927,0.003420153
POR,0.00729927,0.0139437
BRA,0.05474453,0.03157064
VEN,0,0.01052355
COL,0.003649635,0.003157064
KOR,0.05839416,0.03130755
PRK,0.01459854,0.009208103
JPN,0.09489051,0.03393844
GUM,0,0.001841621
ITA,0.02554744,0.01999474
AUS,0.00729927,0.02288871
MAD,0,0.003420153
CIV,0,0.002893975
PLW,0,0.0002630887
URU,0,0.001578532
ISR,0.01459854,0.008418838
CYP,0,0.003157064
ECU,0,0.004472507
GDR,0.02189781,0.005524862
KGZ,0.003649635,0.003683241
SUI,0.00729927,0.008945014
BUL,0.00729927,0.007103394
TKM,0,0.002630887
SEN,0,0.01236517
HKG,0,0.004472507
RSA,0,0.002104709
MOZ,0,0.000789266
MYA,0,0.000789266
LBA,0,0.001841621
PUR,0,0.009471192
HUN,0.01824817,0.01999474
BLR,0.003649635,0.006314128
GUI,0,0.002893975
CAN,0.0109489,0.02131018
YUG,0.00729927,0.006314128
AFG,0,0.000789266
UKR,0.00729927,0.0115759
CRC,0,0.004209419
TCH,0.003649635,0.004472507
FRG,0.0109489,0.006840305
ANG,0,0.003683241
FIJ,0,0.004472507
GER,0.05109489,0.0231518
RUS,0.02554744,0.01867929
ROU,0.0109489,0.01183899
LTU,0,0.002104709
PHI,0,0.00394633
INA,0,0.002367798
BOL,0,0.001578532
ISL,0.003649635,0.00394633
AND,0,0.001578532
MON,0,0.002104709
NCA,0,0.001315443
MLT,0,0.002104709
CMR,0,0.00578795
MDA,0,0.002893975
SUR,0,0.001315443
LIE,0,0.004209419
KEN,0,0.002104709
URS,0.04744526,0.008155748
LAT,0.003649635,0.002630887
BEL,0.03284672,0.01446988
CHI,0,0.001578532
HAI,0,0.003683241
EST,0.0109489,0.002367798
ROT,0,0.0005261773
CGO,0,0.001841621
MLI,0,0.003683241
GUA,0,0.001315443
VIE,0,0.000789266
HON,0,0.001841621
IRL,0,0.004209419
SMR,0,0.002367798
SLO,0.0109489,0.006577217
BIH,0,0.001841621
PAR,0,0.001315443
GEO,0.0109489,0.01078663
IRI,0,0.004735596
TPE,0,0.01131281
MRI,0,0.001578532
ZAM,0,0.003157064
LIB,0,0.004735596
NOR,0,0.001052355
PAN,0,0.001052355
ESA,0,0.002630887
NZL,0,0.004998684
NEP,0,0.001052355
ARM,0,0.002104709
ZIM,0,0.001841621
IOA,0,0.001315443
TOG,0,0.000789266
BEN,0,0.000789266
NRU,0,0.0005261773
SEY,0,0.001052355
GAB,0,0.002630887
SUD,0,0.000789266
AHO,0,0.000789266
PER,0,0.001315443
VAN,0,0.0005261773
BDI,0,0.0005261773
TTO,0,0.0002630887
SRB,0,0.0005261773
KOS,0,0.0005261773
KSA,0,0.000789266
THA,0,0.002630887
BUR,0,0.001578532
SGP,0,0.0005261773
DJI,0,0.000789266
AZE,0.003649635,0.007629571
COD,0,0.002367798
BAR,0,0.001315443
CZE,0,0.004209419
BIZ,0,0.0005261773
DEN,0,0.0005261773
ALB,0,0.0005261773
JOR,0,0.0002630887
CAM,0,0.0002630887
YAR,0,0.0005261773
SCG,0,0.001052355
SVK,0,0.001841621
GUY,0,0.0002630887
TGA,0,0.0002630887
VNM,0,0.000789266
GBS,0,0.0002630887
SOL,0,0.0002630887
ARU,0,0.001315443
CRO,0,0.000789266
GEQ,0,0.0002630887
TAN,0,0.0002630887
BOT,0,0.0002630887
CPV,0,0.0002630887
MAS,0,0.0002630887
MNE,0,0.000789266
LUX,0,0.001052355
GHA,0,0.0005261773
MKD,0,0.0002630887
GAM,0,0.0002630887
PNG,0,0.0005261773
SRI,0,0.0002630887
PAK,0,0.0002630887
LAO,0,0.0002630887
SAM,0,0.000789266
RWA,0,0.0002630887
QAT,0,0.0002630887
