countries,P(N|X),P(N)
NOR,0,0.01960784
ISV,0,0.00540906
KAZ,0,0.0006761325
GER,0.1666667,0.05747126
CAN,0,0.06152806
URS,0.05,0.03177823
ITA,0.15,0.09398242
SUI,0,0.01555105
RUS,0,0.04124408
ROU,0,0.02772143
LAT,0.1166667,0.04327248
JPN,0,0.04056795
FRG,0.1166667,0.03786342
UKR,0,0.02366464
BUL,0,0.00811359
TGA,0,0.0006761325
FRA,0,0.01352265
USA,0.08333334,0.09601082
LIE,0,0.01284652
GDR,0.1666667,0.04192021
TCH,0,0.0311021
EUN,0,0.006761325
AUT,0.15,0.09195402
YUG,0,0.003380663
BIH,0,0.002028398
SWE,0,0.0270453
VEN,0,0.004056795
GBR,0,0.03042596
CZE,0,0.01217039
POL,0,0.04259635
AUS,0,0.003380663
AHO,0,0.0006761325
MDA,0,0.00270453
TPE,0,0.01081812
ARG,0,0.004732928
KOR,0,0.01081812
ESP,0,0.004056795
SVK,0,0.01960784
IND,0,0.00270453
IOA,0,0.0006761325
BRA,0,0.001352265
PUR,0,0.002028398
EST,0,0.002028398
PHI,0,0.0006761325
NZL,0,0.001352265
BER,0,0.00270453
GRE,0,0.002028398
SLO,0,0.001352265
GEO,0,0.001352265
