countries,P(N|X),P(N)
ITA,0.06451613,0.05366726
EGY,0,0.01788909
TCH,0,0.019678
GER,0.03225806,0.03041145
RUS,0.06451613,0.01550388
FIN,0,0.0405486
BRN,0,0.007155635
CAN,0,0.01729278
USA,0,0.05843769
GBR,0.06451613,0.06320811
MEX,0,0.04472272
BUL,0,0.01669648
JPN,0,0.02742993
BLR,0,0.008348241
SWE,0.1451613,0.0608229
LTU,0.01612903,0.01192606
FRA,0,0.05545617
DEN,0,0.01490757
URS,0.2096774,0.03220036
POL,0.08064516,0.03458557
HUN,0.2741936,0.05545617
GRE,0,0.002981515
AUS,0.01612903,0.03160406
POR,0,0.01073345
AUT,0,0.02206321
SUI,0,0.02564103
ARG,0,0.01073345
BRA,0,0.01848539
NED,0,0.01073345
FRG,0,0.01788909
TUN,0,0.003577817
MAR,0,0.001192606
ESP,0,0.01788909
GUA,0,0.003577817
BEL,0,0.008944544
CHI,0,0.01371497
CHN,0,0.01132976
CZE,0.01612903,0.007155635
LAT,0,0.009540847
TPE,0,0.001788909
KOR,0,0.01848539
UKR,0,0.008944544
RSA,0,0.006559332
ROU,0,0.01252236
IRL,0,0.005963029
KAZ,0.01612903,0.005963029
PER,0,0.001192606
KGZ,0,0.001788909
CUB,0,0.001788909
URU,0,0.006559332
GEO,0,0.0005963029
NOR,0,0.003577817
GDR,0,0.003577817
NZL,0,0.0005963029
TUR,0,0.0005963029
EUN,0,0.003577817
EST,0,0.001788909
