countries,P(N|X),P(N)
JPN,0.03636364,0.0796131
FRG,0.01818182,0.01860119
NOR,0.2363636,0.09598214
GER,0.2363636,0.06845238
TCH,0,0.03869048
SUI,0.07272727,0.06845238
USA,0.1090909,0.0952381
EST,0,0.02529762
FRA,0.01818182,0.06622024
URS,0.01818182,0.02604167
AUT,0.03636364,0.0796131
CAN,0,0.01636905
SVK,0,0.003720238
POL,0,0.03199405
RUS,0,0.0327381
ITA,0,0.0483631
YUG,0,0.005208333
SLO,0,0.01116071
CZE,0,0.04613095
ROU,0,0.0007440476
SWE,0.01818182,0.01339286
GDR,0,0.01785714
BUL,0,0.0007440476
HUN,0,0.004464286
UKR,0,0.006696429
EUN,0,0.005208333
FIN,0.2,0.08705357
LAT,0,0.0007440476
BLR,0,0.003720238
GBR,0,0.0007440476
AUS,0,0.0007440476
