countries,P(N|X),P(N)
ESP,0,0.07446808
GEO,0,0.004559271
GRE,0.1363636,0.06079027
JPN,0,0.05015197
BLR,0.1590909,0.07142857
RUS,0.1590909,0.07142857
KAZ,0,0.006079027
ITA,0.1363636,0.07142857
UZB,0,0.0106383
GER,0,0.04711246
BUL,0.25,0.07294833
FRA,0,0.03039514
CHN,0,0.05319149
POL,0,0.02279635
BRA,0,0.03951368
SWE,0,0.001519757
AUT,0,0.009118541
USA,0,0.03191489
UKR,0.09090909,0.05167173
AZE,0,0.01671733
GBR,0,0.01975684
AUS,0,0.0106383
CPV,0,0.004559271
BEL,0,0.006079027
ISR,0,0.03799392
CAN,0,0.02279635
POR,0,0.004559271
ROU,0,0.0106383
CZE,0,0.004559271
PRK,0,0.003039514
HUN,0,0.0106383
DEN,0,0.001519757
KOR,0,0.0106383
FIN,0,0.006079027
CYP,0,0.004559271
EST,0,0.001519757
LTU,0,0.001519757
URS,0.02272727,0.003039514
IOA,0,0.003039514
NZL,0,0.003039514
SUI,0,0.003039514
TCH,0,0.006079027
YUG,0,0.006079027
RSA,0,0.003039514
EGY,0,0.003039514
FRG,0.02272727,0.006079027
EUN,0.02272727,0.003039514
NOR,0,0.001519757
