countries,P(N|X),P(N)
FIN,0.06539509,0.02687519
NOR,0.01907357,0.0403887
ESP,0.002724796,0.03006377
CAN,0.04087193,0.03218949
TUR,0,0.006680838
FRG,0.01634877,0.009717583
USA,0.09536785,0.04494382
FRA,0.1307902,0.07333738
SEY,0,0.00167021
BRA,0.04359673,0.02748254
RUS,0.02179836,0.01229882
GER,0.04904632,0.02748254
URS,0.01089918,0.0167021
MAS,0,0.001062861
ANG,0,0.0009110234
GRE,0.02179836,0.02140905
DOM,0,0.0003036745
MEX,0,0.009717583
ESA,0,0.0006073489
ARG,0.02452316,0.02702703
EST,0.01907357,0.004706954
GBR,0.06539509,0.05086547
RSA,0,0.006984513
SWE,0.09536785,0.04949894
PAK,0,0.001518372
TUN,0,0.001062861
BRN,0,0.0007591862
QAT,0,0.0003036745
OMA,0,0.0001518372
ITA,0.03542234,0.03978135
BAH,0.005449591,0.00819921
PUR,0,0.006377164
GUA,0,0.001366535
NZL,0.01634877,0.02338293
AUS,0.03814714,0.03188582
DJI,0,0.0006073489
NED,0.03269755,0.03188582
CAY,0,0.002429396
IRL,0,0.013058
PHI,0,0.003036745
ISR,0.005449591,0.008351048
BER,0,0.009262071
SUI,0.008174387,0.02429396
CAM,0,0.0004555117
BEL,0.01907357,0.01412086
DEN,0.04904632,0.03143031
POR,0.01089918,0.01943517
ISV,0,0.007288187
AUT,0.005449591,0.01928333
URU,0,0.004858791
MLT,0,0.001518372
CRO,0,0.006680838
LIB,0,0.0004555117
THA,0,0.004858791
ROU,0,0.001062861
IVB,0,0.001518372
JPN,0.005449591,0.01761312
FIJ,0,0.003340419
BAR,0,0.002277558
MON,0,0.001973884
HUN,0.005449591,0.01169147
LTU,0,0.001518372
CHI,0,0.004099605
TTO,0,0.001062861
POL,0.008174387,0.01457637
YUG,0,0.00273307
IND,0,0.001822047
ALG,0,0.0004555117
SMR,0,0.0004555117
GDR,0.01634877,0.00713635
WIF,0,0.0003036745
KEN,0,0.0006073489
EUN,0,0.002125721
RHO,0,0.0003036745
GEO,0,0.0003036745
VEN,0,0.003188582
LAT,0,0.001366535
AHO,0,0.0009110234
UKR,0.01089918,0.006984513
ANT,0,0.001366535
TCH,0,0.001822047
HKG,0,0.005921652
BLR,0,0.002884907
JAM,0,0.002581233
ZIM,0,0.001214698
CHN,0.002724796,0.009110234
SLO,0.002724796,0.005010629
PAR,0,0.0003036745
SGP,0,0.005921652
TPE,0,0.001973884
GUM,0,0.001214698
MYA,0,0.0009110234
CUB,0,0.002884907
INA,0,0.002125721
COL,0,0.0009110234
SRI,0,0.0006073489
CYP,0,0.003795931
MNE,0,0.0003036745
COK,0,0.0007591862
SVK,0,0.001062861
ISL,0,0.0009110234
BUL,0,0.00167021
LCA,0,0.0004555117
KOR,0,0.006073489
EGY,0,0.0004555117
MAR,0,0.0003036745
CZE,0,0.002884907
BOT,0,0.0001518372
KGZ,0,0.0001518372
ARU,0,0.0006073489
ASA,0,0.0003036745
MRI,0,0.0001518372
UAE,0,0.0001518372
AND,0,0.0007591862
PER,0,0.0009110234
PNG,0,0.0003036745
LUX,0,0.0001518372
IOA,0,0.0001518372
ECU,0,0.0001518372
SEN,0,0.0001518372
