countries,P(N|X),P(N)
NOR,0.03685504,0.03581412
CHI,0,0.00462963
EGY,0,0.007337526
BRU,0,0.000174703
JOR,0,0.001397624
BRN,0,0.0007861635
UAE,0,0.001397624
MON,0,0.004454927
SRI,0,0.001921733
FRA,0.07371008,0.05188679
NED,0.01228501,0.01528651
MEX,0,0.009783369
KEN,0,0.002795248
TCH,0.004914005,0.01685884
ITA,0.02702703,0.02961216
USA,0.09828009,0.05634172
AUS,0.01228501,0.02131377
SUI,0.05405406,0.02585604
CAN,0.01719902,0.01947938
BEL,0.007371007,0.01895528
INA,0,0.0007861635
AHO,0,0.0006114605
PHI,0,0.006289308
HUN,0.01719902,0.02603075
URS,0.04176904,0.01214186
MAS,0,0.001921733
SWE,0.09828009,0.05013976
IRI,0,0.0028826
NAM,0,0.000698812
UKR,0.004914005,0.008560447
JPN,0.007371007,0.01668414
CYP,0,0.002009084
UZB,0,0.00174703
RUS,0.02948403,0.02183788
IOA,0.007371007,0.001659679
KSA,0,0.001222921
LIB,0,0.002271139
QAT,0.002457002,0.001572327
OMA,0,0.001834382
KUW,0.004914005,0.002096436
FIN,0.06388206,0.03031097
ARG,0,0.01048218
BAN,0,0.000698812
ESP,0.002457002,0.01904263
PER,0,0.007686932
GRE,0.01965602,0.03389238
ISL,0,0.000349406
SUD,0,0.000524109
GBR,0.08353809,0.04114256
IRL,0,0.002183788
BRA,0.01228501,0.01065688
CRC,0,0.002183788
ISV,0,0.002009084
CUB,0.007371007,0.008211041
ESA,0,0.002096436
IRQ,0,0.0002620545
SMR,0,0.004804333
KOR,0.002457002,0.01799441
DEN,0.02457002,0.02498253
BIZ,0,0.000524109
POR,0,0.01083159
ROU,0.01228501,0.01179245
TKM,0,0.0004367575
ISR,0,0.005590496
SYR,0,0.001048218
VEN,0.002457002,0.004979036
BOL,0,0.00174703
SRB,0.002457002,0.003930818
PUR,0,0.005328442
GDR,0.01228501,0.006201957
THA,0,0.01030748
EUN,0.002457002,0.002445842
GER,0.02702703,0.02183788
KAZ,0.002457002,0.004716981
AZE,0.004914005,0.001222921
YUG,0.002457002,0.004979036
HAI,0.01228501,0.0007861635
PAK,0,0.001921733
SEN,0,0.000174703
ARM,0,0.0007861635
KGZ,0,0.001572327
TJK,0,0.000349406
CZE,0.00982801,0.008298392
MKD,0,0.0006114605
BUL,0.01474201,0.01231656
AUT,0.01228501,0.01589797
NZL,0.002457002,0.003668763
COL,0,0.005503145
IND,0.002457002,0.009171908
AND,0,0.001048218
URU,0,0.0006114605
SVK,0.007371007,0.004018169
POL,0.01228501,0.01563592
BLR,0.00982801,0.007599581
RSA,0,0.008909853
LAT,0,0.001222921
FRG,0.007371007,0.007075472
MAR,0,0.0007861635
PAR,0,0.000873515
GUA,0,0.004454927
MLT,0,0.001572327
SCG,0.002457002,0.002795248
ALG,0,0.000174703
LAO,0,0.000524109
LUX,0,0.001921733
LIE,0,0.001397624
WIF,0,0.000174703
JAM,0,0.000174703
MGL,0.002457002,0.005503145
CHN,0.04668305,0.02061495
ZIM,0,0.001834382
CRO,0.002457002,0.00410552
PNG,0,0.0002620545
MAL,0,0.0004367575
PAN,0,0.000349406
TPE,0,0.004979036
TUN,0,0.0004367575
HKG,0,0.003057303
BHU,0,0.000174703
PRK,0.004914005,0.005415793
SGP,0,0.001397624
TTO,0,0.000698812
ECU,0,0.001397624
ANG,0,0.0002620545
SLO,0.004914005,0.002183788
BIH,0,0.001659679
TUR,0,0.003319357
DOM,0,0.0007861635
VNM,0,0.0004367575
BOH,0,0.0004367575
UAR,0,0.0002620545
SAA,0,0.0002620545
HON,0,8.73515E-05
LTU,0,0.000524109
RHO,0,8.73515E-05
ANZ,0,0.0002620545
VIE,0,0.002009084
GEO,0.002457002,0.001659679
EST,0,0.001048218
FIJ,0,0.000349406
NCA,0,0.000698812
NEP,0,0.0006114605
ALB,0,0.001397624
MYA,0,0.000524109
MDA,0,0.000524109
CRT,0,8.73515E-05
BAR,0,0.000698812
KOS,0,8.73515E-05
MNE,0,0.000349406
SWZ,0,0.000174703
