countries,P(N|X),P(N)
JPN,0.01052632,0.07953064
EUN,0,0.005215124
GBR,0,0.04563233
USA,0.04210526,0.08800521
KOR,0.4736842,0.09191656
RUS,0.06315789,0.04498044
CHN,0.1263158,0.09126467
ITA,0.04210526,0.089309
KAZ,0,0.009778357
FRA,0,0.04823989
CAN,0.2315789,0.09973925
MGL,0,0.003911343
GER,0,0.0410691
HUN,0,0.03650587
TPE,0,0.001303781
BEL,0,0.0202086
AUS,0.01052632,0.03520209
SVK,0,0.004563233
BUL,0,0.0202086
NED,0,0.05084746
ISR,0,0.003911343
POL,0,0.009778357
NOR,0,0.005215124
UKR,0,0.006518905
PRK,0,0.01303781
HKG,0,0.007822686
NZL,0,0.01434159
SWE,0,0.004563233
LAT,0,0.003911343
ROU,0,0.004563233
CZE,0,0.007822686
RSA,0,0.001303781
BLR,0,0.004563233
LTU,0,0.001955671
AUT,0,0.003259453
