countries,P(N|X),P(N)
RUS,0.1,0.07035176
CAN,0.2,0.1005025
LIB,0,0.005025126
USA,0.3,0.1256281
AUT,0,0.05527638
SUI,0.1,0.07537688
ITA,0.1,0.05025126
NOR,0,0.01507538
RSA,0,0.005025126
GBR,0.2,0.09045226
AUS,0,0.040201
MEX,0,0.005025126
FRA,0,0.02512563
CZE,0,0.005025126
IRL,0,0.0201005
NZL,0,0.040201
LAT,0,0.03517588
KOR,0,0.02512563
ARG,0,0.005025126
GER,0,0.09547739
JPN,0,0.05025126
GRE,0,0.01507538
ROU,0,0.01507538
ESP,0,0.01005025
CRO,0,0.005025126
SLO,0,0.005025126
BER,0,0.005025126
POL,0,0.005025126
