countries,P(N|X),P(N)
USA,0.1666667,0.09081197
AUS,0.03333334,0.03525641
FRA,0.1,0.07799146
CAN,0.06666667,0.0940171
JPN,0.06666667,0.05235043
SWE,0.03333334,0.03952992
NOR,0.1,0.03846154
FIN,0.06666667,0.03739316
RUS,0.06666667,0.04059829
CZE,0,0.01602564
ESP,0,0.01709402
GER,0.1,0.05769231
NZL,0,0.01602564
SUI,0.06666667,0.0940171
NED,0,0.01495726
ITA,0.03333334,0.06837607
CHN,0,0.01388889
UKR,0,0.006410256
BRA,0,0.003205128
BUL,0,0.008547009
AUT,0.03333334,0.07692308
SLO,0.03333334,0.02777778
GBR,0,0.01709402
POL,0,0.0267094
GRE,0,0.003205128
DEN,0,0.002136752
KOR,0,0.007478632
ARG,0,0.001068376
CRO,0,0.001068376
AND,0,0.002136752
SRB,0,0.002136752
IRL,0,0.002136752
SVK,0.03333334,0.004273504
BEL,0,0.001068376
KAZ,0,0.002136752
