countries,P(N|X),P(N)
FIN,0,0.01021772
NED,0.02729754,0.02987713
ARG,0.0009099181,0.01095064
HUN,0.03275705,0.03099806
IRQ,0,0.000172451
AZE,0,0.0004742401
EGY,0,0.004354387
PLE,0,0.0003449019
CAN,0.007279345,0.04289718
SUD,0,0.0002586764
BRN,0,0.0005173529
KUW,0,0.001508946
PHI,0,0.00849321
UAE,0,0.002629877
MAS,0,0.004009485
SWE,0.008189263,0.03211899
RSA,0.008189263,0.01254581
SRI,0,0.001077818
URS,0.01637853,0.0203061
AUS,0.1073703,0.05324423
GBR,0.02092812,0.05565855
FRA,0.01182894,0.038241
PAR,0,0.0008622548
POR,0,0.006898039
DJI,0,8.622548E-05
JOR,0,0.0005173529
QAT,0,0.0003017892
MEX,0.0009099181,0.01694331
ESA,0,0.003578357
VEN,0,0.006941151
MRI,0,0.001077818
SEY,0,0.001034706
TCH,0,0.004742401
GRE,0.0009099181,0.01043328
NIG,0,0.0003449019
USA,0.5905368,0.07061867
ALG,0,0.001638284
SUR,0.0009099181,0.001250269
AUT,0.001819836,0.009010563
MON,0,0.0005173529
UKR,0.003639672,0.008751886
BEL,0.0009099181,0.01202845
SAM,0,8.622548E-05
ROU,0.002729754,0.008708773
UZB,0,0.002414313
RWA,0,0.0004311274
DMA,0,0.0001293382
MLT,0,0.0006466911
ANG,0,0.001853848
CRC,0.0009099181,0.002586764
ISL,0,0.005647769
PAK,0,0.001077818
CHN,0.01182894,0.02181505
BER,0,0.00219875
FRG,0.002729754,0.01534814
RUS,0.00454959,0.01642595
VIN,0,0.0002586764
BAN,0,0.0005604656
YEM,0,0.0001293382
OMA,0,0.0001293382
LIB,0,0.001853848
KSA,0,0.0003880147
IOA,0,0.0004311274
ESP,0.001819836,0.01888338
ITA,0.00454959,0.0311274
POL,0.0009099181,0.01120931
KGZ,0,0.003319681
BUL,0.0009099181,0.00534598
ISR,0,0.005647769
ISV,0,0.003492132
EST,0,0.002026299
BAR,0,0.001552059
BRA,0.0009099181,0.02185816
PUR,0,0.007975857
PER,0,0.003405906
JPN,0.02547771,0.03699073
GAB,0,4.311274E-05
KOR,0.0009099181,0.009700366
MOZ,0,0.001250269
DEN,0.002729754,0.01504635
NZL,0.001819836,0.0131925
EUN,0.0100091,0.002888554
MAD,0,0.0009053675
LTU,0.0009099181,0.003362794
MGL,0,0.0003880147
SGP,0.0009099181,0.006165122
COL,0,0.005302867
GER,0.01546861,0.03065316
ROT,0,0.000172451
GDR,0.05641492,0.01439966
URU,0,0.002974779
YUG,0.0009099181,0.004483725
NCA,0,0.0009053675
LUX,0,0.002284975
CYP,0,0.001336495
ECU,0,0.001983186
AND,0,0.0004311274
CIV,0,0.0003449019
SUI,0,0.0108213
TUR,0,0.004311274
MDA,0,0.001681397
ZIM,0.001819836,0.002888554
GRN,0,0.0002586764
CHI,0,0.001207157
GUA,0,0.003664583
TKM,0,0.0003449019
COM,0,0.000172451
JAM,0,0.001681397
LBA,0,0.0006035783
UGA,0,0.0004311274
HKG,0,0.008838112
LCA,0,0.0002586764
FSM,0,0.0004311274
NOR,0,0.004440612
ARM,0,0.0003449019
KEN,0,0.0005604656
DOM,0,0.0002586764
SLO,0,0.004311274
CRO,0,0.004569951
IND,0,0.001552059
CGO,0,0.0005173529
NGR,0,0.0005173529
ANZ,0.00454959,0.00142272
KAZ,0.0009099181,0.002931666
IRL,0.002729754,0.004828627
GUI,0,0.0003449019
HON,0,0.002802328
BLR,0,0.003923259
SYR,0,0.0005604656
GEQ,0,8.622548E-05
CZE,0,0.004397499
AHO,0,0.0004742401
MAR,0,0.0003880147
TUN,0.001819836,0.001293382
CUB,0,0.002284975
INA,0,0.001810735
SCG,0,0.001207157
GEO,0,0.0003017892
BEN,0,0.0003017892
IRI,0,0.0002586764
BDI,0,0.0003017892
FIJ,0,0.002586764
ARU,0,0.0003880147
MKD,0,0.001293382
PAN,0,0.00142272
GUM,0,0.001896961
ALB,0,0.0004742401
TTO,0,0.00142272
CMR,0,0.0002155637
COK,0,0.0002155637
LAO,0,0.0003449019
THA,0,0.003535245
BAH,0,0.001853848
CAY,0,0.0006898039
SMR,0,0.001120931
SRB,0,0.001379608
BIH,0,0.0006466911
PNG,0,0.0005173529
TPE,0,0.006854926
CAM,0,0.000991593
TJK,0,0.0003017892
MAW,0,0.0003017892
VIE,0,0.001595171
SEN,0,0.001034706
SLE,0,0.0001293382
BOL,0,0.000991593
MLI,0,0.0004311274
NAM,0,0.0003880147
SWZ,0,0.0006898039
LAT,0,0.001250269
NEP,0,0.0005173529
PLW,0,0.0003017892
HAI,0,0.0001293382
ZAM,0,0.0006035783
ASA,0,0.000172451
MDV,0,0.0006466911
SVK,0,0.00172451
MAL,0,0.0002155637
TGA,0,0.0001293382
GHA,0,8.622548E-05
MHL,0,0.0002586764
GUY,0,0.0002586764
ETH,0,0.000172451
TAN,0,0.0002586764
LIE,0,0.000172451
VNM,0,0.0003880147
MNE,0,0.0001293382
GAM,0,4.311274E-05
BOT,0,0.000172451
COD,0,4.311274E-05
TOG,0,0.0001293382
BRU,0,4.311274E-05
SAA,0,4.311274E-05
ANT,0,0.0002586764
MYA,0,0.0003017892
CAF,0,0.0001293382
BUR,0,0.0003017892
IVB,0,4.311274E-05
LES,0,4.311274E-05
KOS,0,8.622548E-05
