countries,P(N|X),P(N)
EGY,0,0.0440044
USA,0.2162162,0.06820682
MEX,0,0.03740374
JPN,0,0.08580858
ITA,0,0.05720572
FRA,0,0.04510451
PUR,0,0.00220022
CAN,0.05405406,0.07370737
AUT,0,0.01540154
SVK,0,0.00660066
GBR,0,0.0330033
COL,0,0.00220022
AUS,0,0.06270627
VEN,0,0.00550055
ESP,0,0.05390539
UKR,0,0.01980198
GRE,0,0.0220022
BUL,0,0.00220022
RUS,0.7297297,0.06930693
CZE,0,0.0110011
BRA,0,0.03630363
SUI,0,0.02750275
NED,0,0.01540154
DOM,0,0.00440044
CHN,0,0.07920792
URS,0,0.00550055
PRK,0,0.00660066
KOR,0,0.01210121
AHO,0,0.00440044
HUN,0,0.00440044
NZL,0,0.00660066
EUN,0,0.00550055
FRG,0,0.0110011
ISR,0,0.00880088
SWE,0,0.00110011
KAZ,0,0.0110011
IOA,0,0.00550055
BLR,0,0.00880088
FIN,0,0.00110011
ARU,0,0.00440044
GER,0,0.00440044
BEL,0,0.00550055
CUB,0,0.00220022
ARG,0,0.00440044
BAR,0,0.00110011
TCH,0,0.00110011
RSA,0,0.00440044
