countries,P(N|X),P(N)
EGY,0,0.01790281
NGR,0,0.03682864
IND,0,0.01329923
GHA,0,0.004092072
PUR,0,0.001023018
CRO,0,0.01841432
TOG,0,0.000511509
PAR,0,0.001534527
IRI,0,0.004603581
JOR,0,0.002557545
KUW,0,0.001534527
QAT,0,0.002046036
KSA,0,0.001023018
DOM,0,0.007672634
IRQ,0,0.000511509
SYR,0,0.000511509
AUT,0,0.02813299
KOR,0.3833333,0.0516624
GBR,0,0.0173913
POR,0,0.008184143
SWE,0.01666667,0.03120205
CUB,0,0.009207161
JPN,0.06666667,0.05012788
ITA,0,0.009718671
VEN,0,0.006138107
COD,0,0.002046036
ROU,0,0.01994885
TPE,0.01666667,0.03017903
SVK,0,0.002557545
USA,0,0.03529412
GER,0.1333333,0.03785166
HUN,0,0.01841432
TUN,0,0.008695652
DEN,0.03333334,0.005115089
FRA,0.03333334,0.02250639
AUS,0,0.03682864
POL,0,0.02148338
BEL,0,0.007161126
FRG,0,0.005115089
RSA,0,0.001023018
ALG,0,0.005115089
NZL,0,0.008695652
URS,0,0.004092072
LAT,0,0.000511509
ECU,0,0.000511509
CAN,0,0.0230179
SGP,0.06666667,0.02046036
BRA,0,0.0286445
ESP,0,0.01278772
HKG,0,0.0398977
CHN,0.15,0.0511509
PRK,0.06666667,0.02659846
MRI,0,0.002557545
LIB,0,0.001534527
CHI,0,0.01585678
UKR,0,0.005115089
CZE,0,0.0112532
RUS,0,0.01994885
BUL,0,0.001534527
VIE,0,0.001023018
NED,0,0.02148338
LBA,0,0.000511509
SCG,0,0.006649616
PER,0,0.005626598
DJI,0,0.000511509
YUG,0.03333334,0.004603581
IOA,0,0.003580563
CMR,0,0.001023018
SLO,0,0.002046036
ARG,0,0.007161126
LTU,0,0.002557545
KAZ,0,0.001023018
GRE,0,0.01074169
SEN,0,0.000511509
CGO,0,0.004092072
INA,0,0.005626598
BIH,0,0.001023018
TCH,0,0.006138107
TUR,0,0.003069054
JAM,0,0.003069054
UZB,0,0.001023018
SRB,0,0.002046036
THA,0,0.003580563
BLR,0,0.01432225
ISR,0,0.000511509
UGA,0,0.003580563
PHI,0,0.000511509
MAS,0,0.002046036
MAR,0,0.000511509
VAN,0,0.002046036
MEX,0,0.002557545
EUN,0,0.005626598
HON,0,0.000511509
COL,0,0.001534527
LUX,0,0.003069054
FIN,0,0.000511509
SUD,0,0.000511509
PAK,0,0.000511509
EST,0,0.000511509
TTO,0,0.001023018
TKM,0,0.001023018
SUI,0,0.000511509
FIJ,0,0.000511509
