countries,P(N|X),P(N)
EGY,0.03125,0.02475248
AZE,0.03125,0.01485149
USA,0.078125,0.02970297
KGZ,0,0.00330033
JOR,0,0.01320132
BEL,0,0.00660066
GER,0.015625,0.01815182
IRI,0.046875,0.02310231
KEN,0,0.00330033
KSA,0,0.001650165
YEM,0,0.00330033
UAE,0,0.001650165
CUB,0.03125,0.02145215
MEX,0.046875,0.0280528
NIG,0,0.001650165
PHI,0,0.01650165
CPV,0,0.001650165
SLO,0,0.00660066
ISR,0,0.004950495
DEN,0,0.00660066
MAR,0,0.02475248
GRE,0,0.01815182
KAZ,0.015625,0.01485149
FRA,0.0625,0.02310231
GAB,0,0.004950495
CIV,0.015625,0.01320132
AFG,0.03125,0.00660066
NEP,0,0.004950495
GBR,0.046875,0.0280528
GUI,0,0.001650165
AUS,0,0.03630363
RUS,0.03125,0.01815182
ITA,0.015625,0.01815182
NZL,0,0.01320132
NED,0,0.01155115
TUN,0.015625,0.01320132
ECU,0,0.001650165
ESP,0.015625,0.0280528
MON,0,0.001650165
SUI,0,0.001650165
TUR,0.046875,0.01980198
SRB,0,0.008250825
THA,0.046875,0.02145215
CAN,0.015625,0.01650165
CAF,0,0.00660066
POR,0,0.00330033
KUW,0,0.001650165
AUT,0,0.004950495
GUA,0,0.008250825
VEN,0.03125,0.01650165
PAN,0,0.00330033
COL,0.015625,0.01485149
MAS,0,0.00660066
TPE,0.078125,0.02970297
CHN,0.03125,0.02640264
VIE,0,0.01485149
NGR,0.015625,0.01155115
CHI,0,0.004950495
MDA,0,0.001650165
MLI,0,0.004950495
SAM,0,0.00330033
ARG,0,0.01155115
BRA,0.03125,0.02145215
NCA,0,0.001650165
PUR,0,0.00660066
SEN,0,0.004950495
PER,0,0.004950495
SWZ,0,0.001650165
JAM,0,0.001650165
ALG,0,0.001650165
UZB,0,0.01815182
HON,0,0.00330033
SWE,0,0.01320132
CRO,0.046875,0.01650165
TJK,0,0.00330033
NOR,0,0.00660066
JPN,0.015625,0.01155115
FIN,0,0.008250825
DOM,0.015625,0.00990099
UKR,0,0.004950495
KOR,0.078125,0.03465347
MHL,0,0.001650165
PNG,0,0.00660066
COD,0,0.001650165
HAI,0,0.00330033
POL,0,0.00660066
RSA,0,0.001650165
BIZ,0,0.001650165
LES,0,0.004950495
CRC,0,0.004950495
LBA,0,0.004950495
BEN,0,0.00330033
TTO,0,0.00330033
LIB,0,0.001650165
ARU,0,0.001650165
BIH,0,0.001650165
MGL,0,0.001650165
INA,0,0.004950495
IRQ,0,0.001650165
HUN,0,0.001650165
QAT,0,0.001650165
CAM,0,0.00330033
GRN,0,0.001650165
TGA,0,0.001650165
ARM,0,0.001650165
