countries,P(N|X),P(N)
MEX,0,0.01048218
NGR,0,0.002096436
BRA,0,0.01502446
RSA,0.02830189,0.01781971
SWE,0.05660377,0.04507338
SUI,0.02830189,0.01956674
USA,0.09433962,0.0698812
HAI,0,0.001048218
GBR,0.2169811,0.06673655
GRE,0.0754717,0.02375961
MAR,0,0.002096436
FRA,0.1037736,0.06079664
MDA,0,0.000349406
RUS,0.02830189,0.02690426
BER,0,0.000349406
IND,0,0.0174703
ESP,0.1037736,0.04332634
UZB,0,0.002096436
CRO,0,0.01292802
NOR,0,0.0118798
EST,0,0.002445842
AUT,0.01886792,0.01362683
BEL,0,0.02795248
TCH,0.01886792,0.01222921
DEN,0.009433962,0.01886792
ESA,0,0.000349406
HUN,0,0.02096436
PER,0,0.001048218
AUS,0.01886792,0.03249476
JPN,0.02830189,0.02271139
BLR,0,0.01048218
ITA,0,0.03738644
IRL,0,0.006638714
GER,0.06603774,0.02935011
BIH,0,0.001048218
GEO,0,0.001397624
CAN,0,0.01991614
INA,0,0.006289308
SVK,0,0.01607268
CZE,0.03773585,0.02515723
ROU,0.01886792,0.01607268
UKR,0,0.008036338
LTU,0,0.000349406
ISR,0,0.00698812
ARG,0.01886792,0.03109713
NED,0.01886792,0.01851852
VEN,0,0.003843466
ZIM,0,0.006638714
LAT,0,0.002096436
ALG,0,0.000698812
SLO,0,0.00698812
PUR,0,0.00174703
TUR,0,0.000349406
COL,0,0.00524109
PAR,0,0.003144654
CHI,0.009433962,0.007337526
BOL,0,0.000349406
ECU,0,0.002096436
TPE,0,0.005939902
CHN,0,0.01781971
URS,0,0.00349406
EUN,0,0.002445842
KOR,0,0.01013277
NZL,0,0.003144654
POR,0,0.004192872
URU,0,0.000698812
BUL,0,0.005590496
POL,0,0.01327743
SRB,0,0.008385744
THA,0,0.004542278
YUG,0,0.002096436
DOM,0,0.000698812
SMR,0,0.000698812
BOH,0,0.009783369
FRG,0,0.003144654
FIN,0,0.003843466
TUN,0,0.002096436
SCG,0,0.001048218
BAR,0,0.000349406
BAH,0,0.004542278
MNE,0,0.000349406
LUX,0,0.003144654
KAZ,0,0.002795248
TOG,0,0.000349406
CRC,0,0.000349406
IOA,0,0.000349406
CIV,0,0.001048218
CYP,0,0.000698812
BEN,0,0.000349406
MAD,0,0.002795248
ARM,0,0.001048218
LIE,0,0.000698812
ANZ,0,0.000349406
