countries,P(N|X),P(N)
RUS,0,0.03780719
JPN,0,0.04725898
AUT,0.1,0.02457467
ESP,0,0.04914934
EST,0,0.005671077
ARG,0,0.01134215
SUI,0.2,0.04725898
LUX,0,0.007561437
POR,0,0.01701323
AUS,0.1,0.05482041
GBR,0.2,0.05482041
CHN,0,0.02079395
MON,0,0.001890359
BRA,0,0.03780719
NED,0,0.02457467
GER,0.1,0.04347826
FRA,0,0.04914934
USA,0.1,0.05482041
CZE,0,0.03213611
NOR,0,0.001890359
ITA,0,0.03213611
CHI,0,0.009451796
CAN,0.1,0.04725898
ECU,0,0.003780718
NZL,0.1,0.04536862
BER,0,0.009451796
MEX,0,0.02079395
CRC,0,0.005671077
BEL,0,0.02268431
POL,0,0.01323251
ISR,0,0.001890359
IRL,0,0.009451796
COL,0,0.005671077
GRE,0,0.005671077
HUN,0,0.02268431
JOR,0,0.001890359
ZIM,0,0.005671077
DEN,0,0.01323251
KAZ,0,0.01134215
VEN,0,0.003780718
RSA,0,0.02457467
KOR,0,0.001890359
UKR,0,0.02079395
PUR,0,0.001890359
HKG,0,0.005671077
AHO,0,0.001890359
SWE,0,0.007561437
AZE,0,0.001890359
SLO,0,0.003780718
SVK,0,0.005671077
MRI,0,0.003780718
SYR,0,0.001890359
BAR,0,0.001890359
JAM,0,0.001890359
