countries,P(N|X),P(N)
NED,0,0.05070203
ESP,0.06916427,0.05460218
ITA,0.1066282,0.0725429
EGY,0,0.01326053
UAR,0,0.002600104
IRI,0,0.002860114
URU,0,0.003900156
BRA,0,0.024961
GBR,0,0.02782111
JPN,0,0.01976079
HUN,0.08357349,0.07904316
GRE,0.03746398,0.05200208
URS,0.06340057,0.02574103
MEX,0,0.01040042
CHI,0,0.002080083
IND,0,0.004940198
RUS,0.03458213,0.02678107
SRB,0,0.01014041
KAZ,0,0.01586063
FRA,0,0.0325013
CUB,0,0.01482059
POR,0,0.002340093
GER,0.05475504,0.03198128
USA,0.2074928,0.0824233
YUG,0.1123919,0.03172127
CAN,0,0.01924077
SWE,0.02017291,0.01846074
BUL,0,0.005720229
ROU,0,0.02418097
UKR,0,0.003380135
TCH,0,0.01118045
EUN,0,0.003380135
AUS,0,0.06474259
RSA,0,0.004420177
SVK,0,0.003380135
GDR,0,0.002860114
CRO,0.07204611,0.0200208
IRL,0,0.003640146
LUX,0,0.001820073
BEL,0.1037464,0.02600104
SUI,0,0.009360374
ARG,0,0.007280291
AUT,0,0.007280291
MLT,0,0.004680187
FRG,0,0.0150806
MNE,0,0.01014041
CHN,0,0.01976079
SGP,0,0.002600104
KOR,0,0.003380135
SCG,0.03458213,0.009880396
ISL,0,0.002080083
NZL,0,0.0002600104
