countries,P(N|X),P(N)
ROU,0.03286385,0.01803404
BUL,0.07511737,0.02362205
IRQ,0,0.007366015
UAR,0,0.001778004
EGY,0.009389671,0.02184404
QAT,0,0.001270003
AZE,0,0.005334011
INA,0.02347418,0.01244602
USA,0.07511737,0.03886208
KEN,0,0.002286005
LBA,0,0.001778004
COL,0.009389671,0.01651003
CHI,0,0.001524003
MEX,0,0.007112014
CAN,0.009389671,0.01498603
NEP,0,0.001778004
SUD,0,0.001016002
IND,0,0.01016002
MAR,0,0.002794006
BEL,0.009389671,0.01168402
AHO,0,0.002794006
MGL,0,0.003302007
SUI,0.009389671,0.01016002
CUB,0.004694836,0.01701803
AUT,0.02347418,0.02082804
IRI,0.02347418,0.01879604
UGA,0,0.001778004
SYR,0,0.003048006
KGZ,0,0.001778004
KAZ,0.02347418,0.01016002
RUS,0.06103287,0.01143002
EUN,0.01877934,0.002540005
LIB,0.004694836,0.003302007
KSA,0,0.001778004
UAE,0,0.000508001
FIN,0,0.01651003
SWE,0,0.01625603
PHI,0.004694836,0.005842012
ARM,0.009389671,0.009144018
URS,0.09859155,0.01803404
FRA,0.01408451,0.03276607
TUR,0.009389671,0.01676403
PER,0,0.003302007
POR,0,0.002540005
LUX,0.004694836,0.003556007
GDR,0.01877934,0.007874016
HUN,0.04225352,0.02514605
GHA,0,0.000508001
KOR,0.01877934,0.02971806
GRE,0.02347418,0.02108204
SOL,0,0.001778004
DEN,0.009389671,0.006604013
JPN,0.01408451,0.02819406
BLR,0.02347418,0.01219202
RSA,0,0.003810008
GER,0.03286385,0.02413005
PUR,0,0.008382017
ECU,0,0.004064008
PAK,0,0.003048006
GBR,0.01408451,0.03251207
GEO,0,0.004064008
NZL,0,0.006096012
MYA,0,0.004318009
NGR,0.004694836,0.006858014
SEY,0,0.001270003
FRG,0.009389671,0.007874016
MAS,0,0.002794006
TTO,0.004694836,0.002032004
TCH,0.009389671,0.01676403
POL,0.02816901,0.02971806
BRA,0,0.006350012
AUS,0.004694836,0.01981204
NOR,0,0.003556007
PNG,0,0.002540005
ALG,0,0.00482601
CMR,0,0.002794006
PAN,0,0.004318009
MON,0,0.000508001
TKM,0,0.002286005
ALB,0,0.004318009
SLE,0,0.000508001
NED,0,0.005842012
TUN,0,0.003048006
ARG,0.004694836,0.009144018
ISR,0,0.003048006
LAT,0.004694836,0.00508001
DOM,0,0.005334011
ITA,0.02347418,0.02387605
MRI,0,0.001778004
SGP,0.004694836,0.002794006
MDA,0,0.005334011
UKR,0.009389671,0.01244602
ISL,0,0.001778004
ESP,0,0.008636017
GUA,0,0.003302007
NRU,0,0.002794006
ASA,0,0.001778004
THA,0.009389671,0.01092202
ESA,0,0.002032004
CHN,0.07042254,0.02362205
SMR,0,0.000508001
NCA,0,0.002794006
CRC,0,0.001016002
PRK,0.03286385,0.01295403
VEN,0,0.006858014
MAL,0,0.001270003
TPE,0.009389671,0.01524003
UZB,0,0.005842012
GUY,0,0.002032004
BOL,0,0.0007620016
GUM,0,0.001016002
ZIM,0,0.0002540005
IRL,0,0.0007620016
SVK,0,0.002540005
IOA,0,0.0002540005
JAM,0,0.001270003
LTU,0,0.001524003
EST,0.01408451,0.00508001
TUV,0,0.000508001
ARU,0,0.0007620016
COM,0,0.0002540005
YUG,0,0.001016002
VIE,0.004694836,0.002286005
SWZ,0,0.0007620016
SAM,0,0.003302007
HAI,0,0.000508001
KIR,0,0.001016002
COK,0,0.002032004
SCG,0,0.0002540005
SRI,0,0.001016002
URU,0,0.001016002
FIJ,0,0.002032004
TGA,0,0.001016002
HON,0,0.0007620016
CZE,0,0.001778004
BIZ,0,0.0002540005
MLT,0,0.0002540005
CYP,0,0.0002540005
FSM,0,0.001016002
CRO,0,0.0007620016
PLW,0,0.000508001
BAR,0,0.000508001
MAD,0,0.0007620016
TJK,0,0.0002540005
MHL,0,0.0002540005
KUW,0,0.000508001
BIH,0,0.0002540005
WIF,0,0.0002540005
ISV,0,0.0002540005
HKG,0,0.0002540005
